Order Date,Region,Category,Sales,Profit
2024-01-12,East,Technology,4500,1200
2024-01-25,West,Furniture,3200,800
2024-02-10,South,Office Supplies,1500,400
2024-02-18,East,Technology,6200,1600
2024-03-05,North,Furniture,2800,600
2024-03-20,West,Technology,7200,1900
2024-04-11,South,Office Supplies,2100,700
2024-04-28,North,Technology,6400,1800
2024-05-07,East,Furniture,3600,900
2024-05-21,West,Office Supplies,1800,500
2024-06-03,North,Furniture,2500,700
2024-06-17,South,Technology,5800,1500
